HABITAT,FUNTIONAL_GROUP
pelagic,zooplankton
benthic,benthos
benthic,basal taxa
benthic,fish
benthic,basal taxa
benthic,benthos
benthopelagic,zooplankton
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
benthopelagic,zooplankton
benthic,fish
benthic,benthos
benthopelagic,zooplankton
benthic,benthos
benthic,benthos
benthic,fish
benthic,fish
benthic,benthos
benthic,benthos
benthopelagic,detritus
pelagic,zooplankton
benthic,benthos
benthic,basal taxa
benthic,benthos
benthopelagic,detritus
benthopelagic,benthos
benthic,basal taxa
benthopelagic,zooplankton
benthopelagic,fish
benthopelagic,zooplankton
benthic,benthos
benthic,benthos
benthic,benthos
benthic,fish
benthopelagic,zooplankton
benthic,fish
benthic,benthos
benthic,benthos
benthopelagic,zooplankton
pelagic,basal taxa
pelagic,basal taxa
benthic,fish
benthic,benthos
benthopelagic,fish
pelagic,zooplankton
benthic,fish
benthic,benthos
benthic,basal taxa
pelagic,zooplankton
benthic,benthos
benthic,zooplankton
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
benthopelagic,zooplankton
benthic,benthos
benthic,benthos
pelagic,fish
benthic,benthos
benthic,fish
benthic,benthos
benthic,fish
benthic,zooplankton
benthic,benthos
benthic,benthos
benthopelagic,zooplankton
benthic,benthos
benthic,benthos
land-based,marine mammal
benthic,benthos
benthic,basal taxa
pelagic,fish
benthic,benthos
benthic,benthos
benthic,benthos
benthopelagic,fish
pelagic,zooplankton
benthopelagic,benthos
benthic,benthos
benthopelagic,zooplankton
benthic,benthos
benthic,benthos
benthic,fish
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
benthic,basal taxa
benthopelagic,fish
benthopelagic,zooplankton
pelagic,fish
pelagic,zooplankton
pelagic,zooplankton
pelagic,zooplankton
pelagic,fish
benthic,benthos
benthic,benthos
benthopelagic,zooplankton
benthic,benthos
benthic,benthos
benthic,benthos
benthic,benthos
pelagic,zooplankton
benthic,benthos
benthopelagic,fish
benthic,benthos
benthic,benthos
benthic,fish
benthic,fish
benthopelagic,fish
benthopelagic,fish
benthopelagic,fish
benthic,benthos
benthic,benthos
benthic,benthos
pelagic,basal taxa
benthic,benthos
pelagic,zooplankton
benthopelagic,benthos
benthic,benthos
benthopelagic,detritus
benthic,benthos
benthic,benthos
benthic,benthos
benthic,fish
benthic,fish
benthic,benthos
pelagic,zooplankton
benthic,fish
pelagic,zooplankton
benthic,fish
benthopelagic,zooplankton
benthic,basal taxa
land-based,marine mammal
benthic,benthos
benthic,detritus
pelagic,fish
benthopelagic,fish
pelagic,fish
benthic,benthos
benthic,benthos
pelagic,zooplankton
pelagic,zooplankton
pelagic,zooplankton
benthic,benthos
benthic,basal taxa
benthic,benthos
benthopelagic,zooplankton
